id tx ty tz rz ry rz rw
11 1055.879351 -2029.085054 27.008531 0.709699 -0.027873 -0.014270 0.703809
10 2110.219023 -2333.619352 25.203409 0.021885 0.696033 0.717096 0.028848
17 121.405195 -2158.399187 25.793331 0.087474 0.685692 0.719418 0.067924
15 -171.812780 -813.408233 28.831376 0.486920 -0.512799 -0.514373 0.485146
14 -455.089740 -1698.908978 27.679688 0.513138 0.469303 0.499817 0.516360
1 1523.112347 -36.303325 23.914376 0.703005 -0.012308 -0.040344 0.709933
0 640.885124 -175.611844 29.464125 0.040411 0.711189 0.701540 0.020459
3 2865.813831 -164.487107 25.734444 0.694881 -0.032309 -0.020936 0.718094
2 2245.976604 -312.832078 27.103847 0.034307 0.711340 0.701520 0.026225
5 3799.635097 -682.190642 28.445880 0.535240 0.462317 0.458778 0.537870
4 3538.449101 -428.232086 28.696086 0.023523 0.707517 0.705841 0.025589
7 3928.999142 -1360.063996 26.269699 0.472881 -0.511000 -0.530125 0.483974
16 -320.837903 -203.299693 26.769616 0.505084 0.473625 0.491455 0.528243
9 3134.753801 -2225.155373 28.091199 0.701331 -0.040615 -0.030977 0.711003
8 3673.743219 -1955.854494 28.110006 0.518657 0.476619 0.478341 0.524423
