id tx ty tz rx ry rz rw
0 640.885124 -175.611 29.464 0.0 0.707 0.707 0.0
1 1511.885 -27.611 29.464 0.707 0.0 0.0 0.707
2 2254.385 -175.611 29.464 0.0 0.707 0.707 0.0
3 2855.885 -26.389 29.464 0.707 0.0 0.0 0.707
4 3543.885 -175.611 29.464 0.0 0.707 0.707 0.0
5 3840.885 -421.611 29.464 0.5 0.5 0.5 0.5
7 4040.885 -1075.611 29.464 0.5 -0.5 -0.5 0.5
8 3840.885 -1693.5 29.464 0.5 0.5 0.5 0.5
9 3311.385 -2008.5 29.464 0.707 0.0 0.0 0.707
10 2292.285 -2208.511 29.464 0.0 0.707 0.707 0.0
11 1216.085 -2008.5 29.464 0.707 0.0 0.0 0.707
17 286.6 -2208.511 29.464 0.0 0.707 0.707 0.0
14 -326.389 -1802.411 29.464 0.5 0.5 0.5 0.5
15 -127.885 -900.611 29.464 0.5 -0.5 -0.5 0.5
16 -326.389 -300.811 29.464 0.5 0.5 0.5 0.5
