id tx ty tz rz ry rz rw
1 623.381884 38.466217 27.567432 0.70925777 -0.0267194 -0.01359453 0.70431149
3 1933.396215 -67.028859 27.920413 0.68446294 0.09311811 0.05404238 0.72105403
2 1339.894699 -212.355423 29.527916 0.03088942 0.71360896 0.69828252 0.04700658
5 2893.401719 -588.310903 29.72235 0.52098309 0.48510714 0.47761435 0.51490991
4 2625.507495 -334.141403 29.709441 0.04460979 0.70648039 0.70571825 0.02927776
7 3015.421588 -1255.309749 28.489194 0.4550365 -0.5308633 -0.51574548 0.49510861
11 145.962560 -1934.25725 29.6059380 7.07071424e-01 -3.21947386e-02 -8.36259661e-03 7.06359375e-01
10 1194.229663 -2224.756453 28.758264 0.0315995 0.69543485 0.71613327 0.0502493
12 -786.139083 -2051.77732 28.3030960 2.57536203e-02 6.93404468e-01 7.19915785e-01 1.57561902e-02
14 -1361.168134 -1593.066677 30.694177 0.52029445 0.47565993 0.4639742 0.53644129
9 2235.457601 -2109.623264 29.433807 0.70395256 -0.05847656 -0.05438732 0.70574309
8 2779.542376 -1854.913062 26.880739 0.4937418 0.50283644 0.49924541 0.50411167
0 -252.256125 -82.930052 29.649875 0.035134 0.712061 0.700520 0.031726
15 -1075.518941 -721.867938 30.513326 0.48019204 -0.51836841 -0.51672294 0.48343273
6 -1230.12491 -108.624753 30.092471 0.53635192 0.45572239 0.478505 0.52504922
